Descriptores,Personal remunerado|Economía Social|2013<P>,Personal remunerado|Economía Social|2018<P>,Personal remunerado|Economía Nacional|2013<P>,Personal remunerado|Economía Nacional|2018<P>,Personal remunerado|Total|2013<P>,Personal remunerado|Total|2018<P>
Puestos de trabajo|Total,1191582,1734422,36615312,39313943,3.2543267052084053,4.411721224526029
"Puestos de trabajo|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1109166,1635516,2793058,3028482,39.71152323408171,54.004467172962066
Puestos de trabajo|Industrias manufactureras,13155,11797,5374598,6461375,0.24476249200405314,0.18257723781702812
Puestos de trabajo|Comercio al por mayor,6212,7737,779633,893428,0.7967851540404268,0.8659903204287308
Puestos de trabajo|Comercio al por menor,4078,4890,3716930,3765302,0.10971419962173083,0.12987006088754632
"Puestos de trabajo|Transportes, correos y almacenamiento",18799,27194,2167186,2311703,0.8674382355736886,1.1763621883953086
Puestos de trabajo|Servicios financieros y de seguros,23167,28979,289356,351888,8.006400420243576,8.23529077433729
"Puestos de trabajo|Servicios profesionales, científicos y técnicos",1200,2084,557165,621861,0.21537605556702233,0.33512312236979
"Puestos de trabajo|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",3964,3938,4408210,4705009,0.08992312072247012,0.08369803330875669
"Puestos de trabajo|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1793,1047,171631,172263,1.0446830700747534,0.6077915745110674
Puestos de trabajo|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2507,2688,1334441,1346668,0.1878689278881569,0.19960376276855174
Puestos de trabajo|Otros<C1>,7541,8552,15023104,15655964,0.05019601807988549,0.05462455074628429
